***********Lab5***************
Measurements:
Iteration: 0, Distance: 0.000000 m, Velo: 0.000000 
Iteration: 1, Distance: 0.000000 m, Velo: 0.000000 
Iteration: 2, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 3, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 4, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 5, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 6, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 7, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 8, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 9, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 10, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 11, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 12, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 13, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 14, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 15, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 16, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 17, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 18, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 19, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 20, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 21, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 22, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 23, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 24, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 25, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 26, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 27, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 28, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 29, Distance: 0.000000 m, Velo: 0.000000 
Iteration: 30, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 31, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 32, Distance: 0.000000 m, Velo: 0.000000 
Iteration: 33, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 34, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 35, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 36, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 37, Distance: 0.000000 m, Velo: 0.000000 
Iteration: 38, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 39, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 40, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 41, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 42, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 43, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 44, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 45, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 46, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 47, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 48, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 49, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 50, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 51, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 52, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 53, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 54, Distance: 0.000000 m, Velo: 0.000000 
Iteration: 55, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 56, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 57, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 58, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 59, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 60, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 61, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 62, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 63, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 64, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 65, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 66, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 67, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 68, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 69, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 70, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 71, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 72, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 73, Distance: 0.000000 m, Velo: 0.000000 
Iteration: 74, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 75, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 76, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 77, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 78, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 79, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 80, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 81, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 82, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 83, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 84, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 85, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 86, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 87, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 88, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 89, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 90, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 91, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 92, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 93, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 94, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 95, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 96, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 97, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 98, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 99, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 100, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 101, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 102, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 103, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 104, Distance: 0.010000 m, Velo: 33.333333 
Iteration: 105, Distance: 0.010000 m, Velo: 33.333333 
